"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"104433522",2354.16607620791,-1.00499753376003,0.179273357232394,-5.60595031674029,2.07115373109516e-08,5.66316046357009e-07
"104436163",43.037707627341,-2.04917422918256,0.365688485429331,-5.60360610418662,2.09937501688354e-08,5.73476904418391e-07
"104433375",260.352594292035,2.83178536895691,0.505417537743401,5.60286329121131,2.10839515431111e-08,5.75383892305135e-07
"104437033",1390.49125435272,-1.28025197532618,0.228533776143444,-5.60202521014925,2.11861732582621e-08,5.77614914977429e-07
"104449010",835.884637066091,-1.084831749682,0.193659609836039,-5.6017449926728,2.12204589104569e-08,5.77991225420147e-07
"104423253",750.156966062693,-1.01910907941629,0.181993945337751,-5.59968672323135,2.14739519428097e-08,5.84331702914372e-07
"104426538",2442.4804948924,-1.16219583158216,0.207668510233552,-5.59639894500669,2.1884978729609e-08,5.94942514250583e-07
"104454440",3574.83049908506,-1.49727947874363,0.267553612311033,-5.59618487603535,2.19120040967424e-08,5.95103880271297e-07
"104426030",3075.18515310863,-1.70677593693454,0.305045656991874,-5.59514911231798,2.20432234440881e-08,5.98091999178152e-07
"104434014",1841.51803898523,-1.40258696090302,0.250687630474203,-5.59495878695682,2.20674182973687e-08,5.98173304049135e-07
"108955098",685.964976308092,-2.4985030868228,0.44729478638861,-5.58580864980639,2.32615252049489e-08,6.29936389859164e-07
"104422890",1716.45662531219,-1.10960137893431,0.198822435087179,-5.58086605491865,2.39323900385585e-08,6.47482437303973e-07
"104432728",5411.56686487529,-2.14841347488208,0.385160205127319,-5.57797364909985,2.43336504668645e-08,6.57229160104028e-07
"104456207",8315.63798165327,-1.46301952442394,0.262287003287651,-5.57793373703479,2.43392328410486e-08,6.57229160104028e-07
"108956715",1903.25955365962,1.58573501653874,0.284308108106675,5.57752301578312,2.43967513770495e-08,6.58152514682201e-07
"104415284",585.655588006807,-2.09264438420444,0.375304134479677,-5.57586285881368,2.46305915920464e-08,6.63826202048104e-07
"104426289",603.931494582475,-1.20332337067319,0.215891754528987,-5.57373473247505,2.49335305401046e-08,6.71146307677364e-07
"104421852",15609.1256055429,-1.30783137482819,0.234646611665337,-5.57362139408802,2.49497652829242e-08,6.71146307677364e-07
"104422336",474.362230535198,-2.27533856304759,0.408433948295232,-5.57088501713596,2.53448561299776e-08,6.81124905024485e-07
"104426803",1474.88762005453,1.55887673562434,0.279878967084914,5.56982452758367,2.54996014068015e-08,6.84631543765104e-07
"104457383",80.2027316654008,2.6569822181077,0.477097282178117,5.56905754310242,2.56120897709098e-08,6.86998050528072e-07
"104450202",3893.83818130195,-1.30532005054776,0.234428052640332,-5.56810516423319,2.57524390436074e-08,6.90106671350916e-07
"104420952",689.563566189216,1.06519094630197,0.191334105211746,5.5671776086294,2.58898474719606e-08,6.92772019933651e-07
"104453896",228.931336481146,-1.11669131793995,0.200587525371368,-5.56710251982274,2.59010022336807e-08,6.92772019933651e-07
"104433733",1106.52875137824,-1.08586264653595,0.195091367017694,-5.56591848801523,2.60775130296264e-08,6.96832635104166e-07
"104432610",1728.05805550069,-1.07074362935046,0.192411207605642,-5.56487141614442,2.62345785336283e-08,7.00366449443635e-07
"104433108",2293.35793480789,1.2474394831132,0.224206335996985,5.56380120823157,2.63960630973242e-08,7.04011444688369e-07
"104439699",60.8779603413781,4.0411990658351,0.726361941091875,5.56361620456096,2.6424076067662e-08,7.04093086380817e-07
"104432282",3520.18565722221,1.39422780549877,0.250677248511665,5.56184421911704,2.66938529713189e-08,7.10610512400639e-07
"104438447",72.4188823630077,1.82572156076784,0.328442721469946,5.55872132771529,2.71758190256269e-08,7.22758964434628e-07
"104443099",1085.14857001493,-1.03592008772657,0.186431836087906,-5.55656217019777,2.75139750814082e-08,7.31063416993576e-07
"104425170",412.216041246201,2.68246887779846,0.483016537941773,5.55357563786321,2.79884473992862e-08,7.42970845449726e-07
"104450624",236.125573745512,-1.05988113198105,0.190950722098382,-5.55054791274882,2.84775647532195e-08,7.5490784554351e-07
"104453057",370.511988456292,2.08103848641792,0.374930706969963,5.55046158591817,2.84916314233411e-08,7.5490784554351e-07
"104442593",216.189615316128,2.36204639955428,0.425702004494143,5.54859120844656,2.87980639157884e-08,7.62311226618871e-07
"104441193",323.581265162359,-1.52593940931614,0.275089958086931,-5.54705602461118,2.90519673729366e-08,7.68039663252239e-07
"104426006",5231.55910684937,2.05011647197935,0.369639504099122,5.54625912340146,2.91846215526892e-08,7.70375725887545e-07
"104449832",1008.6057489781,1.22886315228946,0.22190016983159,5.53790992238581,3.06102616862581e-08,8.04995679648491e-07
"104443344",56.2077321807067,-1.99081056043766,0.359637762477469,-5.5355993395226,3.10165873534198e-08,8.14921845380633e-07
"104422442",148.767207664742,3.0095290103209,0.54389282188156,5.5333126109472,3.14238676735922e-08,8.24854602803186e-07
"104414895",833.67979795942,2.35888201366686,0.426341641531284,5.53284451688674,3.15078754640472e-08,8.26291105803424e-07
"104425664",32.0293201307605,-5.54217174116645,1.00172296123874,-5.5326392182455,3.15447886443247e-08,8.26491036179716e-07
"104453102",658.250753584769,-1.03259083769572,0.186715289136268,-5.53029611272014,3.19690676133737e-08,8.3683038025434e-07
"104454322",17.702574640549,6.11727754219215,1.1062940983276,5.52952198826672,3.21104552824573e-08,8.39752388471158e-07
"104436736",621.855341857494,-1.81945316761162,0.32921927190121,-5.52656944140741,3.2655304258711e-08,8.52421253998435e-07
"104453878",233.503038910614,-2.15134358833398,0.389306584951241,-5.52609093063101,3.27444467002035e-08,8.53958222723053e-07
"104456723",337.634724328302,-1.31939645649599,0.238781231665588,-5.52554506605358,3.2846424813515e-08,8.55826791678454e-07
"104453456",63.2640706144029,-3.56813778013331,0.645827666990983,-5.52490697209962,3.29660237514223e-08,8.58150607211839e-07
"104450806",414.237136040522,-1.90427484056616,0.344718795700801,-5.52413986215876,3.31103635981576e-08,8.61113585265265e-07
"104433349",183.702999700357,-1.21502168786117,0.22015083314404,-5.51904197003972,3.40852787438547e-08,8.85652297968778e-07
"104421939",175.57968316096,-1.49769712622183,0.271553599843017,-5.5152910036458,3.48203314698336e-08,9.02259057314751e-07
"104438959",347.999892582513,-2.94804365590455,0.534594193559406,-5.51454484807635,3.49683731918836e-08,9.05263811677588e-07
"104425593",852.098094029009,-1.54509943599976,0.280245528302991,-5.51337766335119,3.52011747526137e-08,9.09621565173309e-07
"104415097",36.1474684538673,5.20595013705408,0.944971549125299,5.50910780528038,3.60656988229605e-08,9.31108773454986e-07
"104448611",846.107360023564,1.02564116789658,0.18618983288271,5.50857773497588,3.61744491702743e-08,9.33062711779525e-07
"104415771",86.977177238019,-1.47832574745093,0.268510579318375,-5.50565177433128,3.67804924111091e-08,9.47828251010663e-07
"104442846",123.473451847052,-1.85193573548008,0.336515418634608,-5.50327156774628,3.72807481977706e-08,9.59843204967783e-07
"104450144",506.226624132458,-1.69884019291523,0.308738262253823,-5.50252560377036,3.74388834622469e-08,9.63035928475555e-07
"104455007",510.136871053779,1.27270998930321,0.231317894020448,5.50199540201031,3.75516750591597e-08,9.64722183899349e-07
"104456312",428.225260365534,1.07643185128712,0.195647429819062,5.5018962031989,3.75728145192921e-08,9.64722183899349e-07
"104435882",279.928549015024,-1.81350821831004,0.329628866499033,-5.5016668824281,3.76217274095541e-08,9.65099912766179e-07
"104442050",297.804041208968,1.29049956571412,0.234684846485894,5.498861920732,3.82250305034884e-08,9.79685659171149e-07
"104443474",101.676698956142,-2.45359047821471,0.44635236038681,-5.49698107586666,3.86348142053157e-08,9.89289643598546e-07
"104438577",3403.89094414564,-1.88130866840047,0.342536031367665,-5.49229422927815,3.96745685138922e-08,1.01315563287331e-06
"104426831",162.658487221415,-1.04890113888638,0.191005948399394,-5.49145797644548,3.98629180533878e-08,1.01704504668218e-06
"104423146",452.19519809584,-1.80252136199071,0.328289508606354,-5.49064564884429,4.0046708955676e-08,1.02081123153683e-06
"104445835",2492.27985058973,-1.15718409434845,0.21076818412193,-5.49031676279475,4.01213535970239e-08,1.02179093483828e-06
"104437427",107.962893494041,-2.62123106083038,0.477652536285038,-5.48773608786235,4.07117699582512e-08,1.03589244786468e-06
"104419395",1603.86063712056,-1.42885661041022,0.260483753246294,-5.48539627751449,4.12543560474431e-08,1.04875262968176e-06
"104453805",1876.24204494855,-1.05163642398905,0.191847614874638,-5.48162365571363,4.21439998346946e-08,1.06968593774376e-06
"104449546",31.8434525787611,-2.23850291964742,0.408367947442191,-5.48158329679954,4.21536169385167e-08,1.06968593774376e-06
"104448425",78.071015078048,2.94984506709165,0.538246874401596,5.48046854962452,4.2420092099016e-08,1.07548082556158e-06
"104453061",683.50402108795,-1.30243149221139,0.237737527122409,-5.47844300382909,4.29084755386915e-08,1.08688632203842e-06
"104423180",96.7531679671343,-1.69167339844331,0.308916526096673,-5.47615053107879,4.3467795635928e-08,1.09729447325329e-06
"104435342",72.033798755928,-1.94206517675151,0.354656148094667,-5.47591008131381,4.35268687860346e-08,1.09729447325329e-06
"108959504",161.956731553321,-1.63100951205516,0.297857481917465,-5.47580507817194,4.35526901284176e-08,1.09729447325329e-06
"104421943",154.871574581216,-2.27786702297778,0.416063886739111,-5.47480109564542,4.38003306963147e-08,1.10254926992739e-06
