sseqid	PathwayID	Description
AT5G03630	ath00053	Ascorbate and aldarate metabolism 
AT5G11540	ath00053	Ascorbate and aldarate metabolism 
AT5G15490	ath00053	Ascorbate and aldarate metabolism 
AT5G16710	ath00053	Ascorbate and aldarate metabolism 
AT5G21105	ath00053	Ascorbate and aldarate metabolism 
AT5G28840	ath00053	Ascorbate and aldarate metabolism 
AT5G52560	ath00053	Ascorbate and aldarate metabolism 
AT1G08510	ath00061	Fatty acid biosynthesis 
AT1G24360	ath00061	Fatty acid biosynthesis 
AT1G36160	ath00061	Fatty acid biosynthesis 
AT1G43800	ath00061	Fatty acid biosynthesis 
AT1G62640	ath00061	Fatty acid biosynthesis 
AT1G64400	ath00061	Fatty acid biosynthesis 
AT1G74960	ath00061	Fatty acid biosynthesis 
AT1G77590	ath00061	Fatty acid biosynthesis 
AT2G04350	ath00061	Fatty acid biosynthesis 
AT2G04540	ath00061	Fatty acid biosynthesis 
AT2G05990	ath00061	Fatty acid biosynthesis 
AT2G30200	ath00061	Fatty acid biosynthesis 
AT2G38040	ath00061	Fatty acid biosynthesis 
AT2G43710	ath00061	Fatty acid biosynthesis 
AT2G47240	ath00061	Fatty acid biosynthesis 
AT3G03980	ath00061	Fatty acid biosynthesis 
AT3G05970	ath00061	Fatty acid biosynthesis 
AT3G16170	ath00061	Fatty acid biosynthesis 
AT3G23790	ath00061	Fatty acid biosynthesis 
AT3G25110	ath00061	Fatty acid biosynthesis 
AT3G45770	ath00061	Fatty acid biosynthesis 
AT4G13050	ath00061	Fatty acid biosynthesis 
AT4G13180	ath00061	Fatty acid biosynthesis 
AT4G23850	ath00061	Fatty acid biosynthesis 
AT5G10160	ath00061	Fatty acid biosynthesis 
AT5G15530	ath00061	Fatty acid biosynthesis 
AT5G16390	ath00061	Fatty acid biosynthesis 
AT5G18210	ath00061	Fatty acid biosynthesis 
AT5G35360	ath00061	Fatty acid biosynthesis 
AT5G46290	ath00061	Fatty acid biosynthesis 
AT1G01120	ath00062	Fatty acid elongation 
AT1G01710	ath00062	Fatty acid elongation 
AT1G04220	ath00062	Fatty acid elongation 
AT1G19440	ath00062	Fatty acid elongation 
